subject_id	object_id
SCDO:1000892	NCIT:C25298
SCDO:0000586	HP:0000815
SCDO:0000768	NCIT:C19771
SCDO:0000569	NCIT:C30142
SCDO:0000920	HP:0001622
SCDO:0000995	CMO:0000094
SCDO:1000351	NCIT:C38085
SCDO:0000095	HP:0003418
SCDO:0002245	HP:0001626
SCDO:1000393	NCIT:C20711
SCDO:0000973	CMO:0000025
SCDO:0000467	CMO:0002520
SCDO:0000404	HP:0003611
SCDO:0001381	NCIT:C84979
SCDO:0000464	HP:0002955
SCDO:0001102	HP:0003302
SCDO:1000399	NCIT:C34941
SCDO:1000453	ICO:0000304
SCDO:0000523	CMO:0000506
SCDO:1000346	NCIT:C17655
SCDO:0000613	NCIT:C122931
SCDO:1000716	NCIT:C49674
SCDO:0000369	HP:0001953
SCDO:1000713	NCIT:C42559
SCDO:0000872	OGMS:0000088
SCDO:0008145	HP:0012587
SCDO:1000437	HP:0032180
SCDO:1000245	HP:0004447
SCDO:0002780	HP:0000818
SCDO:0000017	HP:0001919
SCDO:1000609	HP:0020060
SCDO:1000349	NCIT:C3245
SCDO:1000712	UO:0000005
SCDO:0000153	HP:0002659
SCDO:1000370	HP:0001743
SCDO:1000507	UO:0000316
SCDO:0000722	CMO:0000290
SCDO:1000274	HP:0001574
SCDO:0001945	NCIT:C78393
SCDO:0001100	NCIT:C85397
SCDO:0000686	HP:0007340
SCDO:1000644	UO:0000187
SCDO:0007326	HP:0001433
SCDO:0004802	NCIT:C3833
SCDO:0000848	CMO:0001324
SCDO:1000278	HP:0000820
SCDO:0000499	CMO:0000665
SCDO:1000473	NCIT:C91106
SCDO:0000100	NCIT:C2890
SCDO:0000982	HP:0001920
SCDO:0001096	OBI:0400115
SCDO:0007371	HP:0001931
SCDO:0000816	HP:0001513
SCDO:0003024	HP:0000271
SCDO:0003929	NCIT:C116161
SCDO:1000283	HP:0011014
SCDO:1000420	NCIT:C142494
SCDO:1000169	NCIT:C107564
SCDO:0004047	NCIT:C17004
SCDO:0000795	HP:0000112
SCDO:1000859	NCIT:C25191
SCDO:1000358	NCIT:C84983
SCDO:0003672	NCIT:C82909
SCDO:0000450	STATO:0000091
SCDO:0000707	HP:0002665
SCDO:1000770	NCIT:C48660
SCDO:1000168	NCIT:C114300
SCDO:0000143	CMO:0000035
SCDO:0000549	NCIT:C131682
SCDO:1000275	NCIT:C126120
SCDO:0000039	NBO:0000131
SCDO:1000451	NCIT:C34887
SCDO:1000656	MP:0011470
SCDO:0007438	NCIT:C2905
SCDO:0009817	HP:0012243
SCDO:0004069	HP:0012735
SCDO:1000752	OBI:0002140
SCDO:1000653	MP:0011468
